cycle,t_feed,t_rinse,t_blow,t_purge,purity_H2,H2_CO_ratio,purity_CO2,recovery_CO2,productivity
104,690,245,132,108,68.08007306504068,2.2109103882113814,84.9381590650407,99.43094016260162,4.364173376829268
105,690,245,132,108,68.07768979338842,2.211396596280991,84.94943971900827,99.44835838842975,4.364926900826446
106,690,245,132,108,68.07675378048778,2.2115533682926825,84.95375258536586,99.4541068292683,4.365168526422764
107,690,245,132,108,68.07622219008269,2.211623810330579,84.95542314049587,99.4568387603306,4.365283925206611
108,690,245,132,108,68.07603575203254,2.211650492276422,84.95609727642278,99.4577861788618,4.365323341056912
109,705,200,136,95,68.07593533898303,2.2116612637288133,84.95636908474576,99.45822850847456,4.365342535254237
110,705,200,136,95,68.8020800211864,2.2835102597457633,83.62081819915255,98.54489652542377,4.58297958516949
111,705,200,136,95,68.47125909401709,2.259665151709402,83.3269667735043,99.08020585470085,4.604822229487179
112,705,200,136,95,68.44441811864404,2.258789983050847,83.28407724576275,99.12783716101694,4.607694161016949
113,705,200,136,95,68.40356193277312,2.256787435714286,83.2787417647059,99.17265570588236,4.6091832668067205
114,705,200,136,95,68.39592177966101,2.256467027542372,83.28094055084746,99.17922285593217,4.609419322033897
115,705,200,136,95,68.39037347457626,2.256275509322034,83.28236398305089,99.18584692796605,4.609657689830506
116,705,200,136,95,68.38899083333334,2.2562255111111114,83.28326017948717,99.1872540811966,4.609708785042733
117,705,200,136,95,68.38815353813557,2.256203293644069,83.28363840677964,99.18835533898309,4.609750124999999
118,705,200,136,95,68.38792096638656,2.2561960302520996,83.28382920168067,99.18863882352944,4.6097607558823555
119,660,260,138,110,68.38779042622953,2.256193209180327,83.2838997704918,99.18881940983607,4.609767378360655
120,660,260,138,110,67.44807921487602,2.1555427367768596,84.9308113429752,101.26530388429752,4.2483606132231415
121,660,260,138,110,68.05125176229508,2.2015648897540983,85.23941215983604,100.0171419262295,4.19912643852459
122,660,260,138,110,68.05041372950816,2.1993355606557383,85.28456330327872,100.01276074590166,4.1976357262295085
123,660,260,138,110,68.11966495901642,2.203777678688525,85.29075526229506,99.96302468852457,4.1964973627049185
124,660,260,138,110,68.12672213114755,2.204096065163935,85.28798151639343,99.96317852459016,4.196507439344264
125,660,260,138,110,68.13587214876031,2.204592545041323,85.28620731404958,99.95411760330578,4.196235827272726
126,660,260,138,110,68.1375333196721,2.204684330737705,85.28502483606557,99.95316377049181,4.1962081094262285
127,660,260,138,110,68.13887450819671,2.204747441803278,85.28451706967215,99.9515366803279,4.196153822950821
128,660,260,138,110,68.13917877049181,2.2047640327868847,85.28425706147543,99.95127106557376,4.196145533196722
129,620,210,134,89,68.13938923636367,2.204772668727273,85.28416034909088,99.95099101818181,4.196136034545457
130,620,210,134,89,69.45161687155964,2.3272517802752297,83.76320401376148,99.85696330275226,4.327760236697248
131,620,210,134,89,69.02901956756754,2.2858270959459457,83.36042581081087,100.47770923423418,4.351470856756758
132,620,210,134,89,69.0147811590909,2.2834541677272715,83.27511138636358,100.51126959090904,4.354528814090908
133,620,210,134,89,68.96214011363638,2.27900268090909,83.25214811363631,100.55863038181818,4.355737542272729
134,620,210,134,89,68.95251247747747,2.2780679378378377,83.24787486936935,100.56676417117122,4.356010788288289
135,620,210,134,89,68.9453027272727,2.277529439999999,83.24679484545453,100.57391749999998,4.356216466363635
136,620,210,134,89,68.94328904545455,2.2773597636363636,83.2467501818182,100.57582742727271,4.356275733636363
137,620,210,134,89,68.94217504545458,2.2772830468181824,83.24677986363632,100.57709425454546,4.356316415454546
138,620,210,134,89,68.94179708333331,2.277254955000001,83.24682972222224,100.57751766666672,4.356330323333332
139,675,255,130,100,68.94161061157023,2.277243138677686,83.2468638876033,100.57776917355373,4.35633847322314
140,675,255,130,100,67.42186599173556,2.146001570661157,85.62605782644627,96.96761987603303,4.202397758264464
141,675,255,130,100,67.78120280991737,2.1949920603305793,86.39176376033059,98.36208667355373,4.26315623966942
142,675,255,130,100,67.7237347520661,2.196020286363637,86.62005574380163,98.72108464876031,4.27635588677686
143,675,255,130,100,67.7524896694215,2.201445303719008,86.69381780991738,98.80250822314052,4.2804273289256205
144,675,255,130,100,67.74895516528923,2.2023545206611566,86.71797103305784,98.8386514049587,4.281899659917357
145,675,255,130,100,67.75097555371903,2.203006310743802,86.7266444214876,98.8490773553719,4.282393376446281
146,675,255,130,100,67.75056175206609,2.2031857665289265,86.72978710743801,98.85412921487605,4.282605129752066
147,675,255,130,100,67.75065958677686,2.2032741363636363,86.73101495867765,98.85579318181821,4.282678698347109
148,675,255,130,100,67.75058033057853,2.2033038780991725,86.73148805785121,98.85657677685947,4.2827123615702485
149,630,187,137,113,67.75057003636365,2.2033169527272722,86.73167930909096,98.85683905454547,4.282723958181818
150,630,187,137,113,69.51928952727273,2.3637194789090907,80.67373456363633,111.05023579999995,4.833047770909091
151,630,187,137,113,69.60936955357144,2.3298840732142856,78.46666816964284,104.329882,4.549197107589287
152,630,187,137,113,69.68640616071427,2.326170654017857,77.70141790178572,102.43615058482146,4.472533016517857
153,630,187,137,113,69.71058216216215,2.3204087995495506,77.42837018018015,101.7806283558559,4.444876612612612
154,630,187,137,113,69.71922174107142,2.3186189098214287,77.32265857142856,101.53691973214283,4.434715411607144
155,630,187,137,113,69.72485491071427,2.317634180357143,77.28026301339285,101.43123906249996,4.430275109821428
156,630,187,137,113,69.72648274774775,2.3172301085585594,77.26197589639636,101.38657995495495,4.428405072522524
157,630,187,137,113,69.72754925000002,2.3170355642857143,77.25403524107143,101.36602129464286,4.427544123214288
158,630,187,137,113,69.72786857657654,2.316947892792793,77.25045105855857,101.35697054054054,4.42716469954955
159,705,235,133,102,69.72804940983602,2.3169066344262306,77.24883526229507,101.35278363934424,4.426989570491803
160,705,235,133,102,68.21622073170732,2.171263461382113,82.49255703252031,91.55515028455287,4.1264113475609765
161,705,235,133,102,68.08605028688525,2.2043344590163936,84.41113270491802,97.38382909836064,4.381203424180329
162,705,235,133,102,67.99187231707319,2.2091839715447157,85.02452821138213,98.45192300813007,4.425862617886178
163,705,235,133,102,67.9564442213115,2.2144822754098343,85.21566958196722,98.73483329508196,4.438306522950818
164,705,235,133,102,67.94361178861791,2.2158863577235777,85.2795922601626,98.80508792682929,4.441304967479674
165,705,235,133,102,67.93552307377047,2.2165557684426243,85.3014311885246,98.8371342827869,4.442683377049181
166,705,235,133,102,67.93305991869917,2.2167847764227635,85.30958308943092,98.84647241869918,4.443080402439026
167,705,235,133,102,67.93151631147542,2.21687732295082,85.3126276065574,98.85124053278686,4.443280881557376
168,705,235,133,102,67.93104191056906,2.216912856504064,85.31384508130081,98.85272402439027,4.443342750813009
169,650,260,131,115,67.93075694666665,2.2169265546666668,85.31431843333331,98.85348248333337,4.443374494666667
170,650,260,131,115,67.88326869166664,2.1938440795833336,84.88197895833333,103.02453291666667,4.2926780295833336
171,650,260,131,115,68.22206338842977,2.2096077896694206,84.56288652892562,100.84631068181815,4.2050718946281
172,650,260,131,115,68.2551375,2.2074497049999997,84.42800285833333,100.554170225,4.193013543333332
173,650,260,131,115,68.29911805785125,2.20845230123967,84.37761675206613,100.43703114049585,4.188702186363637
174,650,260,131,115,68.3073015208333,2.208247375,84.35699541666666,100.40572298333333,4.187460122916667
175,650,260,131,115,68.31381289583335,2.208303760416666,84.34894333333335,100.38806334999997,4.186799741666666
176,650,260,131,115,68.3154035123967,2.2082735264462805,84.34554396694219,100.38270194214871,4.186589859504131
177,650,260,131,115,68.31641579166666,2.2082717070833344,84.34416570833334,100.37973233333332,4.186476470833332
178,650,260,131,115,68.31669884297517,2.2082658243801654,84.34358239669422,100.37875400826447,4.186439152892562
179,600,195,139,85,68.3168633869159,2.2082640067289714,84.34334089719624,100.37823692523365,4.186419074766356
180,600,195,139,85,70.01005574299066,2.373523135514019,82.53526859813088,100.24814674299067,4.325347752336449
181,600,195,139,85,69.52451879716983,2.3265854306603777,81.99719985849055,100.7850226698113,4.3437873
182,600,195,139,85,69.49317072000001,2.3226875022857136,81.87522657142858,100.8247165142857,4.347593808
183,600,195,139,85,69.42301857009346,2.3167669967289726,81.84224163551401,100.90063457943924,4.349797056542058
184,600,195,139,85,69.40672893457945,2.31531598224299,81.83641663551401,100.9250570093458,4.350685278037384
185,600,195,139,85,69.39611448130842,2.314548770560748,81.83544443925237,100.94130027102807,4.351223791121496
186,600,195,139,85,69.3926561556604,2.3142917014150934,81.8357833726415,100.94770998113206,4.351451930660377
187,600,195,139,85,69.3908624245283,2.3141814169811323,81.83609851415095,100.95115382075475,4.351575419811322
188,600,195,139,85,69.39018314953272,2.3141395939252343,81.83633290654203,100.95267294392525,4.351630742990653
189,710,250,132,112,69.38986102399998,2.314122753439999,81.83646358399999,100.953457504,4.351659907200003
190,710,250,132,112,67.10715444444449,2.1235550337301583,84.22428178174604,98.7320402777778,4.366380651984126
191,710,250,132,112,67.89764481599998,2.195601408000001,84.90401833999996,98.72157647999997,4.3705813652
192,710,250,132,112,67.81012438399999,2.19384702,85.07133884000002,99.03240167999998,4.381046039999998
193,710,250,132,112,67.89126926190477,2.201047579761905,85.12599488095238,99.0294467460318,4.3821039523809535
194,710,250,132,112,67.88770561599999,2.2018452120000007,85.14012412000002,99.06721824000002,4.3836458239999985
195,710,250,132,112,67.89726186507937,2.202657376587302,85.14545896825392,99.06466079365082,4.383656482142858
196,710,250,132,112,67.89722032000005,2.2028355972000004,85.1468744,99.06954035999999,4.383866456800001
197,710,250,132,112,67.89846499999999,2.2029397844,85.14750748000002,99.06910184000002,4.383861523199999
198,710,250,132,112,67.89847597619047,2.2029698817460317,85.14767932539684,99.06979722222219,4.383892376984129
199,710,250,132,112,67.89864930399995,2.2029842428000013,85.14776565600002,99.0697253,4.383891005999996
